1_graph	8_frantfreqparm
aboyaient	0.35
aboyait	0.81
aboyant	0.84
aboyante	0.03
aboyer	1.68
aboyeur	0.23
aboyeurs	0.19
aboyez	0.03
aboyons	0.03
aboyèrent	0.13
aboyé	0.35
aboyées	0.03
abra	0.06
abracadabra	0.13
abracadabrant	0.10
abracadabrante	0.10
abracadabrantes	0.23
abracadabrants	0.06
abras	0.03
abrasax	0.03
abrase	0.06
abraser	0.03
abrasif	0.55
abrasifs	0.13
abrasion	0.29
abrasive	0.03
abrasives	0.03
abrasé	0.03
abraxas	0.06
abreuva	0.13
abreuvage	0.03
abreuvaient	0.16
abreuvais	0.03
abreuvait	0.29
abreuvant	0.19
abreuve	0.77
abreuvement	0.03
abreuvent	0.29
abreuver	1.35
abreuveraient	0.03
abreuvez	0.03
abreuvoir	1.68
abreuvoirs	0.55
abreuvons	0.03
abreuvèrent	0.03
abreuvé	0.61
abreuvée	0.13
abreuvés	0.23
abri	35.52
abribus	0.06
abricot	1.13
abricotier	0.97
abricotiers	0.13
abricotine	0.03
abricots	1.16
abris	4.03
abrita	0.39
abritai	0.03
abritaient	0.84
abritais	0.10
abritait	2.42
abritant	1.13
abrite	2.68
abritent	1.26
abriter	4.74
abritera	0.06
abriterai	0.03
abriterait	0.10
abriteront	0.03
abrites	0.06
abritez	0.10
abritions	0.06
abritèrent	0.10
abrité	2.58
abritée	0.87
abritées	0.61
abrités	1.00
abrogation	0.65
abrogations	0.10
abroge	0.16
abrogea	0.06
abrogeant	0.26
abrogent	0.03
abroger	0.19
abrogeront	0.03
abrogèrent	0.03
abrogé	0.94
abrogée	0.19
abrogées	0.55
abrogés	0.55
abrupt	1.58
abrupte	1.84
abruptement	1.03
abruptes	1.16
abrupts	0.61
abruti	4.71
abrutie	0.74
abruties	0.06
abrutir	0.45
abrutira	0.03
abrutis	2.06
abrutissaient	0.10
abrutissais	0.03
abrutissait	0.16
abrutissant	0.23
abrutissante	0.13
abrutissement	0.84
abrutissions	0.03
abrutit	0.23
abrège	0.90
abrègent	0.16
abréacteur	0.03
abréaction	0.42
abréagit	0.06
abrégea	0.10
abrégeai	0.03
abrégeaient	0.03
abrégeait	0.10
abrégeant	0.10
abrégeons	0.06
abréger	1.42
abrégerait	0.06
abrégez	0.06
abrégeât	0.03
abrégèrent	0.03
abrégé	1.65
abrégée	0.94
abrégées	0.10
abrégés	0.23
abréviateurs	0.10
abréviatif	0.03
abréviatifs	0.10
abréviation	0.81
abréviations	0.81
abréviative	0.03
abscisse	1.23
abscisses	0.55
abscission	0.10
abscons	0.35
absconse	0.10
absconses	0.03
absence	73.74
absences	3.03
absent	13.77
absenta	0.16
absentai	0.03
absentaient	0.06
absentais	0.06
absentait	0.55
absentant	0.06
absente	7.65
absentent	0.03
absentera	0.06
absenterai	0.03
absenterait	0.03
absentes	1.65
absents	5.42
absentèrent	0.03
absenté	0.29
absentée	0.16
absentées	0.03
absentéisme	0.87
absentéiste	0.03
absentés	0.03
abside	0.84
absides	0.06
absidiales	0.06
absidiole	0.03
absidioles	0.03
absinthe	1.58
absolu	30.32
absolue	33.87
absolues	2.74
absoluité	0.06
absolument	54.16
absolus	2.10
absolution	1.77
absolutisme	1.23
absolutismes	0.03
absolutiste	0.19
absolutistes	0.26
absolvaient	0.03
absolvait	0.13
absolvant	0.06
absolve	0.03
absolvent	0.13
absorba	1.16
absorbables	0.03
absorbai	0.06
absorbaient	0.55
absorbais	0.16
absorbait	1.90
absorbant	2.84
absorbante	0.94
absorbantes	0.55
absorbants	0.58
absorbe	4.65
absorbent	1.74
absorber	5.94
absorbera	0.19
absorberaient	0.10
absorberait	0.26
absorberont	0.10
absorbeur	0.03
absorbeurs	0.03
absorbions	0.03
absorbons	0.03
absorbât	0.03
absorbèrent	0.32
absorbé	8.81
absorbée	3.68
absorbées	1.90
absorbés	2.42
absorption	14.90
absorptions	0.35
absoudrait	0.06
absoudre	1.03
absoudriez	0.03
absous	0.94
absout	0.16
absoute	0.16
absoutes	0.03
abstenaient	0.13
abstenais	0.19
abstenait	0.45
abstenant	0.52
abstenez	0.03
abstenions	0.03
abstenons	0.16
abstention	2.03
abstentionnisme	0.23
abstentionniste	0.06
abstentionnistes	0.13
abstentions	0.29
abstenu	0.55
abstenue	0.26
abstenues	0.03
abstenus	0.26
abstiendra	0.06
abstiendrai	0.03
abstiendraient	0.03
abstiendrait	0.03
abstiendras	0.03
abstiendrions	0.06
abstiendrons	0.06
abstiendront	0.03
abstienne	0.23
abstiennent	0.55
abstiens	0.16
abstient	0.68
abstinence	1.26
abstinences	0.13
abstinent	0.03
abstinrent	0.19
abstins	0.19
abstint	0.61
abstract	0.23
abstracteur	0.06
abstracteurs	0.03
abstraction	10.13
abstractions	1.65
abstracts	0.19
abstraire	1.06
abstrais	0.03
abstrait	12.87
abstraite	10.29
abstraitement	0.87
abstraites	4.77
abstraits	4.39
abstrus	0.19
abstruse	0.06
abstruses	0.10
abstînt	0.13
absurde	22.71
absurdement	2.10
absurdes	4.81
absurdité	4.77
absurdités	0.55
abus	10.65
abusa	0.13
abusai	0.03
abusaient	0.19
abusais	0.13
abusait	0.90
abusant	0.58
abuse	1.58
abusent	0.68
abuser	3.52
abusera	0.06
abuserai	0.06
abuserais	0.06
abuserait	0.06
abuserez	0.06
abuses	0.03
abusez	0.19
abusif	1.26
abusifs	0.55
abusive	2.03
abusivement	1.71
abusives	0.90
abusât	0.03
abusèrent	0.03
abusé	2.42
abusée	0.29
abusées	0.10
abusés	0.52
abyme	0.06
abymes	0.03
abyssal	0.55
abyssale	0.32
abyssales	0.48
abyssaux	0.16
abysse	0.03
abysses	0.35
abyssin	0.19
abyssine	0.03
abyssins	0.29
abâtardi	0.13
abâtardie	0.10
abâtardies	0.06
abâtardir	0.03
abâtardirai	0.03
abâtardis	0.06
abâtardissant	0.03
abâtardissement	0.03
abâtardissent	0.03
abéché	0.06
abécédaire	0.10
abélien	0.29
abélienne	0.06
abéliennes	0.81
abéliens	0.35
abêti	0.32
abêties	0.03
abêtir	0.32
abêtis	0.06
abêtissait	0.06
abêtissante	0.06
abêtissement	0.32
abêtissez	0.03
abêtit	0.03
abîma	0.35
abîmai	0.06
abîmaient	0.10
abîmait	0.65
abîmant	0.32
abîme	13.23
abîment	0.48
abîmer	3.35
abîmera	0.13
abîmerai	0.03
abîmerais	0.03
abîmerait	0.10
abîmeras	0.06
abîmeront	0.06
abîmes	4.23
abîmez	0.13
abîmions	0.06
abîmons	0.03
abîmât	0.03
abîmé	2.65
abîmée	0.97
abîmées	0.42
abîmés	0.74
acabit	0.94
acabits	0.06
acacia	2.10
acacias	2.23
acadiens	0.03
académicien	1.13
académiciens	1.06
académie	27.10
académies	4.26
académique	5.16
académiquement	0.13
académiques	2.23
académisable	0.23
académisables	0.06
académisme	0.71
académismes	0.03
académiste	0.03
académisé	0.03
acagnardai	0.03
acagnardait	0.06
acagnarder	0.06
acagnardé	0.16
acagnardée	0.03
acagnardés	0.06
acajou	5.55
acajous	0.48
acanthaires	0.03
acanthe	0.61
acanthes	0.26
acanthocéphales	0.03
acaricides	0.03
acariens	0.19
acariâtre	0.71
acariâtres	0.16
accabla	0.58
accablai	0.03
accablaient	0.77
accablais	0.13
accablait	1.87
accablant	1.39
accablante	1.35
accablantes	0.52
accablants	0.39
accable	1.81
accablement	2.10
accablements	0.10
accablent	0.81
accabler	2.65
accableraient	0.06
accablez	0.10
accablions	0.03
accablât	0.03
accablèrent	0.19
accablé	4.68
accablée	1.81
accablées	0.32
accablés	1.26
accalmie	2.19
accalmies	0.68
accapara	0.03
accaparaient	0.32
accaparait	0.45
accaparant	0.19
accaparante	0.03
accapare	0.52
accaparement	0.39
accaparent	0.16
accaparer	0.55
accaparerait	0.06
accapareurs	0.32
accaparât	0.03
accaparèrent	0.03
accaparé	0.55
accaparée	0.29
accaparées	0.13
accaparés	0.16
accastillage	0.06
accastillages	0.03
accelerando	0.13
accent	28.81
accents	5.13
accentua	1.45
accentuai	0.03
accentuaient	0.65
accentuais	0.03
accentuait	2.35
accentuant	2.06
accentuation	1.74
accentuations	0.71
accentue	3.90
accentuent	0.90
accentuer	3.61
accentuera	0.35
accentueraient	0.03
accentuerait	0.13
accentueront	0.03
accentuez	0.10
accentuât	0.06
accentuèrent	0.19
accentué	2.81
accentuée	2.77
accentuées	1.23
accentués	0.71
accepta	6.65
acceptable	4.84
acceptables	1.58
acceptai	1.65
acceptaient	2.03
acceptais	2.10
acceptait	6.55
acceptant	3.94
acceptassent	0.13
acceptasses	0.03
acceptation	6.10
acceptations	0.13
accepte	18.13
acceptent	5.29
accepter	33.10
acceptera	1.87
accepterai	0.77
accepteraient	0.68
accepterais	1.10
accepterait	2.81
accepteras	0.19
accepterez	0.13
accepteriez	0.32
accepterions	0.23
accepterons	0.10
accepteront	0.42
acceptes	0.81
accepteur	0.48
accepteurs	0.10
acceptez	1.55
acceptiez	0.29
acception	2.84
acceptions	1.58
acceptons	1.10
acceptâmes	0.06
acceptât	0.77
acceptèrent	0.84
accepté	20.77
acceptée	5.23
acceptées	1.74
acceptés	1.90
accessibilité	0.13
accessible	6.58
accessibles	4.26
accession	3.26
accessit	0.13
accessits	0.10
accessoire	4.26
accessoirement	1.97
accessoires	9.94
accessoiriste	0.10
accessoiristes	0.10
accident	26.87
accidente	0.10
accidentel	1.65
accidentelle	2.19
accidentellement	1.48
accidentelles	2.19
accidentels	0.87
accidents	15.87
accidenté	0.94
accidentée	0.45
accidentées	0.23
accidentés	0.48
accise	0.03
acclama	0.19
acclamaient	0.29
acclamait	0.26
acclamant	0.13
acclamation	0.32
acclamations	2.55
acclame	0.52
acclament	0.13
acclamer	0.52
acclamerait	0.03
acclamons	0.10
acclamèrent	0.03
acclamé	0.77
acclamée	0.06
acclamées	0.03
acclamés	0.32
acclimata	0.03
acclimatai	0.03
acclimatait	0.03
acclimatation	0.74
acclimate	0.23
acclimatement	0.19
acclimatent	0.06
acclimater	0.71
acclimaterait	0.03
acclimates	0.03
acclimatez	0.03
acclimatons	0.03
acclimatèrent	0.03
acclimaté	0.16
acclimatée	0.16
acclimatées	0.16
acclimatés	0.16
accointance	0.19
accointances	0.35
accointe	0.03
accointé	0.03
accointés	0.03
accola	0.03
accolade	1.00
accolades	0.32
accolage	0.06
accolait	0.10
accole	0.23
accolement	0.26
accolent	0.23
accoler	0.39
accoleraient	0.03
accolé	0.68
accolée	0.35
accolées	0.61
accolés	0.74
accommoda	0.42
accommodai	0.03
accommodaient	0.87
accommodais	0.23
accommodait	1.16
accommodant	0.61
accommodante	0.10
accommodantes	0.06
accommodants	0.06
accommodation	1.06
accommodations	0.03
accommodatrices	0.03
accommode	2.48
accommodement	0.52
accommodements	0.45
accommodent	0.74
accommoder	3.97
accommodera	0.16
accommoderai	0.06
accommoderaient	0.13
accommoderais	0.10
accommoderait	0.29
accommoderions	0.03
accommoderont	0.13
accommodiez	0.03
accommodions	0.03
accommodons	0.13
accommodât	0.06
accommodèrent	0.13
accommodé	0.52
accommodée	0.23
accommodés	0.23
accompagna	4.87
accompagnai	0.61
accompagnaient	2.71
accompagnais	0.90
accompagnait	8.74
accompagnant	4.58
accompagnasse	0.03
accompagnateur	0.35
accompagnateurs	0.61
accompagnatrice	0.06
accompagnatrices	0.03
accompagne	18.97
accompagnement	2.77
accompagnements	0.29
accompagnent	7.26
accompagner	14.16
accompagnera	0.61
accompagnerai	0.32
accompagneraient	0.16
accompagnerais	0.16
accompagnerait	0.65
accompagneras	0.19
accompagnerez	0.13
accompagneront	0.10
accompagnes	0.42
accompagnez	0.58
accompagniez	0.06
accompagnions	0.03
accompagnons	0.19
accompagnâmes	0.06
accompagnât	0.32
accompagnèrent	0.55
accompagné	15.65
accompagnée	9.42
accompagnées	2.84
accompagnés	4.35
accompli	16.90
accomplie	6.55
accomplies	2.42
accomplir	21.16
accomplira	0.68
accomplirai	0.10
accompliraient	0.13
accomplirais	0.10
accomplirait	0.39
accompliras	0.03
accomplirent	0.23
accomplirez	0.06
accomplirons	0.16
accompliront	0.13
accomplis	7.00
accomplissaient	0.55
accomplissais	0.39
accomplissait	2.39
accomplissant	2.13
accomplisse	0.71
accomplissement	7.65
accomplissements	0.68
accomplissent	2.45
accomplissions	0.16
accomplissons	0.13
accomplit	8.16
accomplît	0.10
acconage	0.10
accons	0.06
accord	105.58
accorda	3.00
accordai	0.29
accordaient	2.32
accordailles	0.23
accordais	0.84
accordait	6.90
accordant	2.35
accordas	0.03
accordassent	0.06
accorde	15.26
accordent	5.58
accorder	16.94
accordera	0.48
accorderai	0.03
accorderaient	0.26
accorderais	0.10
accorderait	0.68
accorderas	0.03
accorderez	0.13
accorderiez	0.03
accorderons	0.06
accorderont	0.16
accordes	0.03
accordeur	0.32
accordez	0.65
accordiez	0.03
accordions	0.16
accordons	0.65
accords	19.10
accordât	0.45
accordèrent	0.74
accordé	9.48
accordée	9.71
accordées	5.06
accordéon	3.03
accordéoniste	0.71
accordéonistes	0.13
accordéons	0.39
accordés	4.45
accore	0.13
accores	0.13
accorné	0.03
accort	0.10
accorte	0.13
accortes	0.06
accorts	0.03
accosta	0.26
accostable	0.03
accostage	0.48
accostaient	0.10
accostais	0.03
accostait	0.19
accostant	0.13
accoste	0.35
accostent	0.16
accoster	0.74
accosterions	0.03
accostiez	0.03
accosté	0.16
accostée	0.13
accostées	0.06
accota	0.13
accotaient	0.06
accotais	0.03
accotait	0.06
accotant	0.19
accote	0.10
accotement	0.55
accotements	0.23
accotent	0.10
accoter	0.03
accotoirs	1.00
accotons	0.03
accotèrent	0.03
accoté	0.29
accotée	0.19
accotées	0.06
accotés	0.16
accouardie	0.03
accoucha	0.26
accouchaient	0.13
accouchait	0.19
accouchant	0.03
accouche	0.81
accouchement	3.97
accouchements	0.61
accouchent	0.19
accoucher	2.19
accoucherais	0.03
accoucherait	0.03
accouches	0.10
accoucheur	0.61
accoucheurs	0.26
accoucheuse	0.19
accoucheuses	0.06
accouché	0.97
accouchée	0.90
accouchées	0.29
accouchés	0.10
accouda	1.39
accoudai	0.26
accoudaient	0.13
accoudais	0.10
accoudait	0.35
accoudant	0.39
accoude	0.77
accoudent	0.13
accoudions	0.03
accoudoir	1.06
accoudoirs	1.58
accoudons	0.03
accoudèrent	0.13
accoudé	2.74
accoudée	1.35
accoudées	0.10
accoudés	0.97
accoupla	0.03
accouplaient	0.16
accouplais	0.03
accouplait	0.10
accouplant	0.10
accouple	0.13
accouplement	1.97
accouplements	0.77
accouplent	0.29
accoupler	0.68
accouplerait	0.03
accouplèrent	0.03
accouplé	0.19
accouplée	0.16
accouplées	0.26
accouplés	0.52
accouraient	0.90
accourais	0.06
accourait	1.29
accourant	0.32
accourcie	0.03
accourcissant	0.03
accourcit	0.03
accoure	0.10
accourent	0.61
accourez	0.16
accourir	1.65
accourons	0.03
accourra	0.03
accourrai	0.03
accourraient	0.06
accourrait	0.10
accourrez	0.03
accourront	0.03
accours	0.29
accourt	1.87
accouru	1.10
accourue	0.48
accourues	0.32
accoururent	0.52
accourus	1.10
accourussent	0.03
accourut	1.19
accourût	0.03
accoutre	0.06
accoutrement	1.16
accoutrements	0.42
accoutrent	0.03
accoutrer	0.06
accoutré	0.29
accoutrée	0.13
accoutrés	0.13
accoutuma	0.06
accoutumai	0.06
accoutumaient	0.10
accoutumais	0.03
accoutumait	0.13
accoutumance	1.48
accoutumant	0.10
accoutume	0.45
accoutument	0.26
accoutumer	0.58
accoutumerait	0.06
accoutumèrent	0.10
accoutumé	2.77
accoutumée	3.39
accoutumées	0.42
accoutumés	1.29
accouvée	0.03
accroc	1.52
accrocha	2.77
accrochage	1.10
accrochages	0.35
accrochai	0.42
accrochaient	2.42
accrochais	0.45
accrochait	5.35
accrochant	2.58
accroche	9.10
accrochement	0.03
accrochent	2.52
accrocher	8.74
accrochera	0.06
accrocherai	0.06
accrocheraient	0.03
accrocherais	0.13
accrocherait	0.06
accrocheriez	0.03
accrocherons	0.03
accrocheront	0.06
accroches	0.06
accrocheur	0.10
accrocheurs	0.10
accrocheuse	0.03
accrocheuses	0.03
accrochez	0.19
accrochions	0.23
accrochons	0.03
accrochât	0.06
accrochèrent	0.29
accroché	10.26
accrochée	6.06
accrochées	3.48
accrochés	5.35
accrocs	0.42
accroire	0.39
accrois	0.03
accroissaient	0.42
accroissait	1.35
accroissant	0.77
accroisse	0.32
accroissement	31.23
accroissements	2.58
accroissent	2.26
accroupi	6.16
accroupie	2.84
accroupies	0.90
accroupirent	0.23
accroupis	3.00
accroupissaient	0.16
accroupissais	0.03
accroupissait	0.03
accroupissant	0.29
accroupisse	0.03
accroupissement	0.13
accroupissent	0.23
accroupissons	0.06
accroupit	2.84
accroît	8.32
accroîtra	0.29
accroîtraient	0.03
accroîtrait	0.35
accroître	14.48
accroîtront	0.23
accru	6.39
accrue	9.84
accrues	1.81
accrurent	0.35
accrus	1.58
accrut	1.39
accrédita	0.10
accréditaient	0.03
accréditait	0.06
accréditant	0.06
accrédite	0.19
accréditent	0.06
accréditer	0.48
accréditif	0.03
accrédité	0.55
accréditée	0.13
accréditées	0.03
accrédités	0.35
accrétion	0.03
accrétions	0.03
accrêté	0.03
accrût	0.03
accueil	17.32
accueillaient	0.68
accueillais	0.16
accueillait	3.19
accueillant	2.52
accueillante	1.52
accueillantes	0.39
accueillants	0.58
accueille	5.42
accueillent	1.84
accueillera	0.35
accueillerai	0.03
accueillerait	0.45
accueilleras	0.03
accueillerez	0.03
accueillerons	0.03
accueilleront	0.19
accueilles	0.03
accueillez	0.10
accueilli	6.26
accueillie	2.03
accueillies	0.61
accueillions	0.06
accueillir	10.68
accueillirent	0.97
accueillis	2.29
accueillit	3.77
accueillons	0.16
accueillît	0.13
accueils	0.16
accula	0.06
acculaient	0.13
acculais	0.06
acculait	0.16
acculant	0.06
accule	0.26
acculent	0.10
acculer	0.55
acculeraient	0.03
acculturatif	0.06
acculturatifs	0.16
acculturation	2.74
acculture	0.10
acculturent	0.03
acculturées	0.03
acculturés	0.03
acculât	0.03
acculèrent	0.03
acculé	1.42
acculée	0.29
acculées	0.03
acculés	0.45
accumula	0.10
accumulai	0.03
accumulaient	1.16
accumulais	0.16
accumulait	1.42
accumulant	1.42
accumulateur	0.90
accumulateurs	1.81
accumulation	8.55
accumulations	0.45
accumule	2.10
accumulent	2.74
accumuler	4.32
accumulerons	0.03
accumuleront	0.03
accumulez	0.03
accumulions	0.03
accumulèrent	0.13
accumulé	3.19
accumulée	2.55
accumulées	3.26
accumulés	2.97
accus	0.29
accusa	1.90
accusai	0.23
accusaient	1.55
accusais	0.35
accusait	4.29
accusant	1.77
accusateur	1.10
accusateurs	0.81
accusatif	0.03
accusation	6.87
accusations	2.48
accusatoires	0.03
accusatrice	0.10
accusatrices	0.03
accuse	6.48
accusent	1.97
accuser	5.68
accusera	0.35
accuseraient	0.10
accuserais	0.03
accuserait	0.48
accuseriez	0.03
accuserions	0.06
accuseront	0.10
accuses	0.10
accusez	0.48
accusiez	0.03
accusions	0.03
accusons	0.10
accusât	0.13
accusèrent	0.32
accusé	10.00
accusée	1.97
accusées	0.65
accusés	4.55
accède	2.52
accèdent	1.10
accès	32.45
accéda	0.32
accédai	0.10
accédaient	0.32
accédais	0.16
accédait	1.52
accédant	0.65
accéder	9.42
accédera	0.03
accéderaient	0.06
accéderais	0.06
accéderait	0.03
accédions	0.06
accédons	0.26
accédâmes	0.03
accédât	0.03
accédèrent	0.10
accédé	0.74
accélère	4.19
accélèrent	0.87
accélères	0.03
accéléra	1.19
accélérai	0.13
accéléraient	0.19
accélérais	0.13
accélérait	1.32
accélérant	1.29
accélérateur	4.10
accélérateurs	1.97
accélération	8.48
accélérations	1.03
accélératrice	0.13
accélératrices	0.03
accélérer	4.42
accélérera	0.06
accélérerait	0.06
accéléreront	0.03
accélérez	0.03
accélérine	0.03
accéléromètres	0.03
accélérèrent	0.10
accéléré	4.58
accélérée	3.39
accélérées	0.48
accélérés	1.55
ace	0.06
acellulaire	0.06
acellulaires	0.10
acerbe	0.68
acerbes	0.19
acerbité	0.03
achalandage	0.03
achalandages	0.03
achalandaient	0.03
achalandé	0.10
achalandée	0.13
achalandées	0.13
achalandés	0.06
acharna	0.58
acharnai	0.03
acharnaient	0.87
acharnais	0.23
acharnait	1.71
acharnant	0.77
acharne	2.81
acharnement	5.35
acharnements	0.06
acharnent	0.61
acharner	0.97
acharnera	0.06
acharneront	0.03
acharnes	0.06
acharnez	0.03
acharnons	0.06
acharnèrent	0.16
acharné	3.35
acharnée	2.45
acharnées	0.81
acharnés	1.97
achat	16.06
achats	11.29
ache	0.06
achemina	0.32
acheminai	0.06
acheminaient	0.13
acheminait	0.61
acheminant	0.13
achemine	1.16
acheminement	1.97
acheminements	0.16
acheminent	0.65
acheminer	1.35
acheminerait	0.03
achemineront	0.10
acheminons	0.26
acheminâmes	0.03
acheminèrent	0.06
acheminé	0.58
acheminée	0.29
acheminées	0.32
acheminés	0.55
aches	0.03
